name,developer,short_description,stars,verified_creator,categories
react-native-bundle-size,shwetsolanki,github action to add react native bundle size as status check,0.0,False,code review
gfmfmt action,purplebooth,uses pandoc to lint and optionally format markdown to a standard format,0.0,False,code quality;code review
detekt all,natiginfo,this action can be used to run detekt checks to enforce best practices,15.0,False,code quality;code review
wip-check,tim-actions,a github action tests if the pr contains any label or keyword in the title intended to prevent premature merging of the pr,0.0,False,code review
committed-action,crate-ci,run committed to check commit history,24.0,False,code quality;code review
psalm – static analysis for php,psalm,run psalm via github actions,28.0,True,code quality;code review
run java checkstyle,nikitasavinov,run java checkstyle with reviewdog,31.0,False,code quality;code review
run hadolint with reviewdog,reviewdog,  run hadolint with reviewdog on pull requests to lint dockerfile and validate inline bash,33.0,False,code review;code quality
static analysis checker,k8s-school,static code analysis checker for golang,0.0,False,code quality;code review
codacy analysis cli,codacy,execute codacy code analysis using your remote codacy configuration,35.0,True,code quality;code review
pr target labeler,jocel1,automatically labels your prs based on base branch name patterns like feature   or fix  ,0.0,False,code review
pmd analyser,synergy-au,runs pmd source code analyser based on the ruleset defined   https   pmd github io ,1.0,False,code quality;code review
conventional pull request,condenast,lint pull requests with the conventional commit spec  for a clean and conventional commit history,3.0,False,continuous integration;code review
pytype python checker,theahura,run pytype to static type check your code,1.0,False,code quality;code review
"conform action, jira enabled. poc",morgangeek,policy enforcement for your pipelines  jira enabled  poc,0.0,False,code review;continuous integration
pr lint github action - poc,morgangeek,pr lint for github actions   poc,0.0,False,code review;continuous integration
linear branch enforcement,jeffreygarrett,enforce branches,0.0,False,code review
troubleshoot codacy analysis cli,troubleshoot-codacy,troubleshoot to execute codacy code analysis using your remote codacy configuration,0.0,False,code review
automatically assign action,titenkov,add reviewers or assignies to pull requests,0.0,False,code review
run tflint with reviewdog,reviewdog,  run tflint with reviewdog on pull requests to enforce best practices,49.0,False,code review;code quality
blumilk pull request title rules,blumilksoftware,github action to enforce pull request title conventions,0.0,False,code review
run rubocop with reviewdog,reviewdog,  run rubocop with reviewdog on pull requests to improve code review experience,54.0,False,code review;code quality
sh-checker,luizm,run shellcheck and or shfmt on all shell script files and include commentaries  there is a exclude parameter,53.0,False,code quality;code review
check mobile user-friendliness,delsinvg,this action checks whether the website is user friendly for a mobile device,0.0,False,code review
run shellcheck with reviewdog,reviewdog,  run shellcheck with reviewdog on pull requests to improve code review experience,56.0,False,code review;code quality
check favicon,delsinvg,this action checks whether the website has a favicon,0.0,False,code review
phpcs code review,rtcamp,this will run phpcs on prs,85.0,False,code review;code quality
code climate standalone,erzz,runs a detached version of codeclimate which reports only in the workflow and does not require the codeclimate service,3.0,False,code quality;code review
auto assign action,kentaro-m,add reviewers to pull requests when pull requests are opened,92.0,False,code review;open source management
clang-format (w/ diff),egor-tensin,clang format all c c   files in the project  and show the diff,0.0,False,code quality;code review
run eslint with reviewdog,reviewdog,  run eslint with reviewdog on pull requests to improve code review experience,108.0,False,code review;code quality
jekyll deploy test,paulrosenthal,this action validates whether a jekyll website deploys successfully,0.0,False,continuous integration;code review
run golangci-lint with reviewdog,reviewdog,  run golangci lint with reviewdog on pull requests to improve code review experience,112.0,False,code review;code quality
pull request target branch action,vankka,a action to check that a pr s target branch is correct  commenting and or changing it if required,1.0,False,code review
typos-action,crate-ci,run typos to check spelling in github actions,259.0,False,code quality;code review
common lint reporter,meilcli,common lint reporter that can handle various lint report files,0.0,False,code review;reporting
check php syntax errors,overtrue,find php syntax errors,699.0,False,code review;code quality
assign reviewers to pr,itsoliverbott,github action to assign pr reviewers,2.0,False,code review
codecov,codecov,github action that uploads coverage reports for your repository to codecov io,725.0,True,code quality;code review
resharper cli inspectcode,muno92,inspect code with resharper command line tool and annotate pr,0.0,False,code quality;code review
wemake-python-styleguide,wemake-services,runs wemake python styleguide as a github action,1500.0,False,code quality;code review
lgtm-image-action,lazy-actions,post lgtm image when reviewer approves pull request,1.0,False,code review;chat
super-linter,github,it is a simple combination of various linters  written in bash  to help validate your source code,6800.0,False,code quality;code review
open github issue | testing,tbarous,opens a github issue,0.0,False,reporting;code review
merge pull requests (automerge-action),pascalgn,automatically merge pull requests that are ready,494.0,False,code review;continuous integration
kubernetes security config watch,sysdiglabs,run security privilege comparison against kubernetes workloads when a pr is open,18.0,True,security;code review
sysdig cis dockerfile benchmark,sysdiglabs,run cis dockerfile benchmark against dockerfiles in repository  cis 4 1  4 2  4 3  4 6  4 7  4 9  4 10 ,6.0,True,code review;security
nightfall dlp action,nightfallai,scan pull requests for sensitive information  like credentials   secrets  pii  credit card numbers  and more,35.0,True,security;code review
mobsfscan,mobsf,mobsfscan is a sast that can find insecure code patterns in your android and ios source code,78.0,True,code review;code scanning ready
release-notes-preview,snyk,presents a preview of expected release notes should the pr get merged  based on semantic release,42.0,True,code review;utilities
